targetId	gid	giAcc	refseq	symbol	geneid	chr	cytoband	startpos	stoppos	description	control_det_rate	case_det_rate	venn_state
GI_37537720-S	GI_37537720-S	GI_37537720	NM_080605.2	B3GALT6	126792	1	1p36.33	1157507	1160280	"UDP-Gal:betaGal beta 1,3-galactosyltransferase polypeptide 6"	1.00000	1.00000	both
GI_34101281-S	GI_34101281-S	GI_34101281	NM_002978.2	SCNN1D	6339	1	1p36.3-p36.2	1207438	1217271	"sodium channel, nonvoltage-gated 1, delta"	1.00000	1.00000	both
GI_14149862-A	GI_14149862-A	GI_14149862	NM_032179.1	FLJ20542	54973	1	1p36.33	1236841	1249912	cleavage and polyadenylation specific factor 3-like	0.984043	0.994318	both
GI_39725639-I	GI_39725639-I	GI_39725639	NM_017871.3	FLJ20542	54973	1	1p36.33	1236841	1249912	cleavage and polyadenylation specific factor 3-like	0.994681	1.00000	both
GI_13386487-S	GI_13386487-S	GI_13386487	NM_030575.1	MGC10334	80772	1	1p36.33	1250005	1254138	hypothetical protein MGC10334	1.00000	1.00000	both
GI_32479518-A	GI_32479518-A	GI_32479518	NM_181870.1	DVL1	1855	1	1p36	1260520	1274622	"dishevelled, dsh homolog 1 (Drosophila)"	0.984043	0.994318	both
GI_8923564-S	GI_8923564-S	GI_8923564	NM_017900.1	AKIP	54998	1	1p36.33	1298972	1300442	aurora kinase A interacting protein 1	1.00000	1.00000	both
GI_24475708-S	GI_24475708-S	GI_24475708	NM_030937.2	CCNL2	81669	1	1p36.33	1310953	1324552	cyclin L2	1.00000	1.00000	both
GI_26638656-S	GI_26638656-S	GI_26638656	NM_017971.2	MRPL20	55052	1	1p36.3-p36.2	1327158	1332523	mitochondrial ribosomal protein L20	1.00000	1.00000	both
GI_40068484-S	GI_40068484-S	GI_40068484	NM_022834.3	WARP	64856	1	1p36.33	1360771	1366008	von Willebrand factor A domain containing 1	1.00000	1.00000	both
GI_42476027-S	GI_42476027-S	GI_42476027	NM_018188.2	FLJ10709	55210	1	1p36.33	1437417	1459926	"ATPase family, AAA domain containing 3A"	1.00000	1.00000	both
GI_7661831-S	GI_7661831-S	GI_7661831	NM_014188.1	HSPC182	29101	1	1p36.33	1466915	1500124	SSU72 RNA polymerase II CTD phosphatase homolog (S. cerevisiae)	1.00000	1.00000	both
GI_21264329-S	GI_21264329-S	GI_21264329	NM_080875.1	LOC142678	142678	1	1p36.33	1540746	1555847	mindbomb homolog 2 (Drosophila)	1.00000	1.00000	both
GI_5902003-S	GI_5902003-S	GI_5902003	NM_006983.1	MMP23B	8510	1	1p36.3	1557422	1559892	matrix metallopeptidase 23B	1.00000	0.982955	both
GI_16332359-A	GI_16332359-A	GI_16332359	NM_033487.1	CDC2L1	984	1	1p36.33	1624179	1645636	cell division cycle 2-like 1 (PITSLRE proteins)	0.946809	0.960227	both
GI_33469146-I	GI_33469146-I	GI_33469146	NM_014854.1	SLC35E2	9906	1	1p36.33	1653540	1667290	"solute carrier family 35, member E2"	1.00000	1.00000	both
GI_20070325-S	GI_20070325-S	GI_20070325	NM_023018.2	FLJ13052	65220	1	1p36.33-p36.21	1672530	1699768	NAD kinase	1.00000	1.00000	both
GI_20357526-S	GI_20357526-S	GI_20357526	NM_002074.2	GNB1	2782	1	1p36.33	1706588	1812354	"guanine nucleotide binding protein (G protein), beta polypeptide 1"	1.00000	1.00000	both
GI_31341734-S	GI_31341734-S	GI_31341734	NM_178545.2	LOC339456	339456	1	1p36.33	1838889	1840564	transmembrane protein 52	0.994681	0.960227	both
GI_34734070-S	GI_34734070-S	GI_34734070	NM_000815.2	GABRD	2563	1	1p	1940702	1952049	"gamma-aminobutyric acid (GABA) A receptor, delta"	1.00000	1.00000	both
GI_10864649-S	GI_10864649-S	GI_10864649	NM_002744.2	PRKCZ	5590	1	1p36.33-p36.2	1971768	2106693	"protein kinase C, zeta"	1.00000	1.00000	both
GI_13376266-S	GI_13376266-S	GI_13376266	NM_024848.1	FLJ13941	79906	1	1p36.33-p36.32	2242555	2312852	MORN repeat containing 1	0.973404	0.914773	both
GI_19923786-S	GI_19923786-S	GI_19923786	NM_007033.2	RER1	11079	1	1pter-q24	2313188	2325049	RER1 retention in endoplasmic reticulum 1 homolog (S. cerevisiae)	1.00000	1.00000	both
GI_24797087-A	GI_24797087-A	GI_24797087	NM_002617.3	PEX10	5192	1	1p36.32	2326100	2333869	peroxisome biogenesis factor 10	0.994681	1.00000	both
GI_42655845-S	GI_42655845-S	GI_42655845	XM_371214.2	KIAA0450	9651	1	1p36.32	2397613	2426823	"phospholipase C, eta 2"	1.00000	1.00000	both
GI_8922664-S	GI_8922664-S	GI_8922664	NM_018216.1	PANK4	55229	1	1p36.32	2429834	2447894	pantothenate kinase 4	1.00000	1.00000	both
GI_23200040-S	GI_23200040-S	GI_23200040	NM_003820.2	TNFRSF14	8764	1	1p36.3-p36.2	2479149	2486612	"tumor necrosis factor receptor superfamily, member 14 (herpesvirus entry mediator)"	1.00000	0.994318	both
GI_22748798-S	GI_22748798-S	GI_22748798	NM_152371.1	MGC26818	127281	1	1p36.32	2508108	2512761	chromosome 1 open reading frame 93	1.00000	1.00000	both
GI_37547280-S	GI_37547280-S	GI_37547280	XM_031401.6	EGFL3	1953	1	1p36.3	3396349	3517918	multiple EGF-like-domains 6	0.920213	0.795455	control
GI_38679906-S	GI_38679906-S	GI_38679906	NM_182752.2	LOC127262	127262	1	1p36.32	3531415	3536554	"family with sequence similarity 79, member A"	1.00000	1.00000	both
GI_16445433-S	GI_16445433-S	GI_16445433	NM_017818.2	WDR8	49856	1	1p36.3	3537198	3556496	WD repeat domain 8	0.936170	0.892045	control
GI_24308206-S	GI_24308206-S	GI_24308206	NM_020710.1	KIAA1185	57470	1	1p36.32	3686643	3702927	leucine rich repeat containing 47	1.00000	1.00000	both
GI_30148318-S	GI_30148318-S	GI_30148318	XM_290902.2	LOC339448	339448	1	1p36.32	3795556	3806708	chromosome 1 open reading frame 174	1.00000	1.00000	both
GI_34304361-S	GI_34304361-S	GI_34304361	NM_015102.2	NPHP4	261734	1	1p36.22	5845456	5975117	nephronophthisis 4	1.00000	1.00000	both
GI_24308088-S	GI_24308088-S	GI_24308088	NM_015557.1	CHD5	26038	1	1p36.31	6084439	6162769	chromodomain helicase DNA binding protein 5	1.00000	1.00000	both
GI_17402905-S	GI_17402905-S	GI_17402905	NM_000983.2	RPL22	6146	1	1p36.3-p36.2	6167666	6182265	ribosomal protein L22	1.00000	1.00000	both
GI_24797154-A	GI_24797154-A	GI_24797154	NM_012405.2	ICMT	23463	1	1p36.21	6203839	6218630	isoprenylcysteine carboxyl methyltransferase	1.00000	1.00000	both
GI_32528285-A	GI_32528285-A	GI_32528285	NM_181866.1	BACH	11332	1	1p36.31-p36.11	6246918	6376412	acyl-CoA thioesterase 7	1.00000	1.00000	both
GI_23200030-A	GI_23200030-A	GI_23200030	NM_148970.1	TNFRSF25	8718	1	1p36.2	6443797	6448841	"tumor necrosis factor receptor superfamily, member 25"	1.00000	1.00000	both
GI_4885418-S	GI_4885418-S	GI_4885418	NM_005341.1	HKR3	3104	1	1p36.3	6562697	6571925	zinc finger and BTB domain containing 48	1.00000	1.00000	both
GI_7662139-S	GI_7662139-S	GI_7662139	NM_014851.1	KIAA0469	9903	1	1p36.31	6573370	6585515	kelch-like 21 (Drosophila)	0.962766	0.982955	both
GI_24432092-S	GI_24432092-S	GI_24432092	NM_153812.1	PHF13	148479	1	1p36.31	6596331	6606642	PHD finger protein 13	1.00000	1.00000	both
GI_8922628-S	GI_8922628-S	GI_8922628	NM_018198.1	FLJ10737	55735	1	1p36.31	6616817	6684459	"DnaJ (Hsp40) homolog, subfamily C, member 11"	1.00000	1.00000	both
GI_22041854-S	GI_22041854-S	GI_22041854	XM_042323.8	CAMTA1	23261	1	1p36.31-p36.23	6767970	7752350	calmodulin binding transcription activator 1	1.00000	1.00000	both
GI_8567387-S	GI_8567387-S	GI_8567387	NM_016831.1	PER3	8863	1	1p36.23	7767349	7827823	period homolog 3 (Drosophila)	1.00000	1.00000	both
GI_34222306-S	GI_34222306-S	GI_34222306	NM_007262.3	PARK7	11315	1	1p36.33-p36.12	7944379	7967925	"Parkinson disease (autosomal recessive, early onset) 7"	1.00000	1.00000	both
GI_21314673-S	GI_21314673-S	GI_21314673	NM_018948.2	MIG-6	54206	1	1p36	7994380	8008942	ERBB receptor feedback inhibitor 1	1.00000	1.00000	both
GI_19923392-S	GI_19923392-S	GI_19923392	NM_012102.2	RERE	473	1	1p36.2-p36.1	8335043	8800110	arginine-glutamic acid dipeptide (RE) repeats	1.00000	1.00000	both
GI_16507965-S	GI_16507965-S	GI_16507965	NM_001428.2	ENO1	2023	1	1p36.3-p36.2	8843649	8861366	"enolase 1, (alpha)"	1.00000	1.00000	both
GI_4507012-S	GI_4507012-S	GI_4507012	NM_003039.1	SLC2A5	6518	1	1p36.2	9019593	9052256	"solute carrier family 2 (facilitated glucose/fructose transporter), member 5"	0.994681	0.982955	both
GI_14150081-S	GI_14150081-S	GI_14150081	NM_032315.1	MGC4399	84275	1	1p36.22	9522114	9565417	"solute carrier family 25, member 33"	1.00000	1.00000	both
GI_19923288-S	GI_19923288-S	GI_19923288	NM_005026.2	PIK3CD	5293	1	1p36.2	9634389	9711563	"phosphoinositide-3-kinase, catalytic, delta polypeptide"	1.00000	1.00000	both
GI_41281560-S	GI_41281560-S	GI_41281560	NM_014944.2	CLSTN1	22883	1	1p36.22	9711665	9807136	calsyntenin 1	1.00000	1.00000	both
GI_9910389-S	GI_9910389-S	GI_9910389	NM_020248.1	CTNNBIP1	56998	1	1p36.22	9830920	9892902	"catenin, beta interacting protein 1"	1.00000	1.00000	both
GI_20070320-S	GI_20070320-S	GI_20070320	NM_022787.2	NMNAT1	64802	1	1p32-p35	9926073	9966313	nicotinamide nucleotide adenylyltransferase 1	1.00000	1.00000	both
GI_16418454-S	GI_16418454-S	GI_16418454	NM_052960.1	RBP7	116362	1	1p36.22	9979860	9998664	"retinol binding protein 7, cellular"	0.914894	0.869318	control
GI_38327033-S	GI_38327033-S	GI_38327033	NM_006048.2	UBE4B	10277	1	1p36.3	10015629	10163883	"ubiquitination factor E4B (UFD2 homolog, yeast)"	1.00000	1.00000	both
GI_41393558-I	GI_41393558-I	GI_41393558	NM_183416.2	KIF1B	23095	1	1p36.2	10193417	10364241	kinesin family member 1B	0.994681	1.00000	both
GI_41393562-I	GI_41393562-I	GI_41393562	NM_015074.2	KIF1B	23095	1	1p36.2	10193417	10364241	kinesin family member 1B	0.941489	0.875000	control
GI_40068517-S	GI_40068517-S	GI_40068517	NM_002631.2	PGD	5226	1	1p36.3-p36.13	10381671	10402787	phosphogluconate dehydrogenase	0.957447	0.965909	both
GI_4758147-S	GI_4758147-S	GI_4758147	NM_004401.1	DFFA	1676	1	1p36.3-p36.2	10443174	10455199	"DNA fragmentation factor, 45kDa, alpha polypeptide"	0.984043	0.971591	both
GI_4758895-S	GI_4758895-S	GI_4758895	NM_004565.1	PEX14	5195	1	1p36.22	10457605	10613399	peroxisomal biogenesis factor 14	0.989362	0.971591	both
GI_42741653-S	GI_42741653-S	GI_42741653	NM_007375.3	TARDBP	23435	1	1p36.22	10995265	11008135	TAR DNA binding protein	1.00000	1.00000	both
GI_4507208-S	GI_4507208-S	GI_4507208	NM_003132.1	SRM	6723	1	1p36-p22	11037235	11042677	spermidine synthase	1.00000	1.00000	both
GI_4505916-S	GI_4505916-S	GI_4505916	NM_002685.1	PMSCL2	5394	1	1p36.22	11049261	11082524	exosome component 10	1.00000	1.00000	both
GI_19924298-S	GI_19924298-S	GI_19924298	NM_004958.2	FRAP1	2475	1	1p36.2	11089178	11245152	FK506 binding protein 12-rapamycin associated protein 1	1.00000	0.994318	both
GI_7019550-S	GI_7019550-S	GI_7019550	NM_013319.1	TERE1	29914	1	1pter	11246033	11268928	UbiA prenyltransferase domain containing 1	0.994681	0.988636	both
GI_18548545-S	GI_18548545-S	GI_18548545	XM_052561.5	KIAA1337	57540	1	1p36.22	11461316	11520226	patched domain containing 2	0.994681	0.965909	both
GI_15812197-S	GI_15812197-S	GI_15812197	NM_012168.2	FBXO2	26232	1	1p36.22	11631034	11637325	F-box protein 2	1.00000	1.00000	both
GI_6006019-S	GI_6006019-S	GI_6006019	NM_006341.2	MAD2L2	10459	1	1p36	11657123	11663779	MAD2 mitotic arrest deficient-like 2 (yeast)	0.994681	1.00000	both
GI_24469782-S	GI_24469782-S	GI_24469782	NM_020350.3	AGTRAP	57085	1	1p36.22	11718728	11733414	angiotensin II receptor-associated protein	0.989362	0.971591	both
GI_12025672-A	GI_12025672-A	GI_12025672	NM_021737.1	CLCN6	1185	1	1p36	11788880	11825771	chloride channel 6	1.00000	1.00000	both
GI_25286702-S	GI_25286702-S	GI_25286702	NM_138346.1	MGC33867	90231	1	1p36.22	11902708	11909066	KIAA2013	1.00000	1.00000	both
GI_32307143-S	GI_32307143-S	GI_32307143	NM_000302.2	PLOD	5351	1	1p36.3-p36.2	11917332	11958180	"procollagen-lysine 1, 2-oxoglutarate 5-dioxygenase 1"	1.00000	1.00000	both
GI_41350328-S	GI_41350328-S	GI_41350328	NM_014874.2	MFN2	9927	1	1p36.22	11962955	11996151	mitofusin 2	1.00000	1.00000	both
GI_11345471-S	GI_11345471-S	GI_11345471	NM_021933.1	FLJ12438	60672	1	1p36.22	12002098	12014692	invasion inhibitory protein 45	0.978723	0.988636	both
GI_23312365-S	GI_23312365-S	GI_23312365	NM_001066.2	TNFRSF1B	7133	1	1p36.3-p36.2	12149646	12191863	"tumor necrosis factor receptor superfamily, member 1B"	0.978723	0.988636	both
GI_42734332-S	GI_42734332-S	GI_42734332	NM_015378.1	VPS13D	55187	1	1p36.22	12212699	12494685	vacuolar protein sorting 13 homolog D (S. cerevisiae)	0.984043	0.994318	both
GI_34222303-S	GI_34222303-S	GI_34222303	NM_004753.3	DHRS3	9249	1	1p36.1	12550525	12600406	dehydrogenase/reductase (SDR family) member 3	1.00000	1.00000	both
GI_38202231-A	GI_38202231-A	GI_38202231	NM_198389.1	T1A-2	10630	1	1p36.21	13782838	13817038	podoplanin	1.00000	1.00000	both
GI_20336259-I	GI_20336259-I	GI_20336259	NM_015866.2	PRDM2	7799	1	1p36.21	13903936	14024161	"PR domain containing 2, with ZNF domain"	1.00000	1.00000	both
GI_20336257-I	GI_20336257-I	GI_20336257	NM_012231.2	PRDM2	7799	1	1p36.21	13903936	14024161	"PR domain containing 2, with ZNF domain"	1.00000	1.00000	both
GI_8922276-S	GI_8922276-S	GI_8922276	NM_018022.1	FLJ10199	55092	1	1p36.21	15352815	15419458	transmembrane protein 51	1.00000	1.00000	both
GI_42734435-S	GI_42734435-S	GI_42734435	NM_024329.4	EFHD2	79180	1	1p36.21	15609027	15629421	"EF-hand domain family, member D2"	1.00000	1.00000	both
GI_14790127-A	GI_14790127-A	GI_14790127	NM_032996.1	CASP9	842	1	1p36.3-p36.1	15691377	15723376	"caspase 9, apoptosis-related cysteine peptidase"	1.00000	1.00000	both
GI_14790189-S	GI_14790189-S	GI_14790189	NM_015001.2	SHARP	23013	1	1p36.33-p36.11	16046945	16139536	"spen homolog, transcriptional regulator (Drosophila)"	1.00000	1.00000	both
GI_4507996-S	GI_4507996-S	GI_4507996	NM_003443.1	ZNF151	7709	1	1p36.2-p36.1	16140950	16175100	zinc finger and BTB domain containing 17	0.994681	1.00000	both
GI_31341936-S	GI_31341936-S	GI_31341936	NM_178840.2	MGC24047	149563	1	1p36.13	16203317	16205770	chromosome 1 open reading frame 64	0.978723	0.982955	both
GI_32699057-S	GI_32699057-S	GI_32699057	NM_182623.1	FLJ36766	348487	1	1p36.13	16256850	16272681	"family with sequence similarity 131, member C"	0.994681	0.994318	both
GI_29733581-S	GI_29733581-S	GI_29733581	XM_048774.4	KIAA1332	54455	1	1p36.23-p36.11	16449145	16551534	F-box protein 42	1.00000	1.00000	both
GI_24308106-S	GI_24308106-S	GI_24308106	NM_015609.1	DKFZp566C0424	26099	1	1p36.13	16566306	16595450	chromosome 1 open reading frame 144	1.00000	1.00000	both
GI_39725692-S	GI_39725692-S	GI_39725692	NM_018090.3	FLJ10420	55707	1	1p36.13	16639819	16659159	NECAP endocytosis associated 2	0.989362	1.00000	both
GI_24308174-S	GI_24308174-S	GI_24308174	NM_017940.1	FLJ20719	55672	1	1p36.13	16763000	16812568	"neuroblastoma breakpoint family, member 1"	1.00000	1.00000	both
GI_34147433-S	GI_34147433-S	GI_34147433	NM_032723.2	MGC12760	84809	1	1p36.13	16817335	16830367	"ciliary rootlet coiled-coil, rootletin-like 1"	0.978723	0.982955	both
GI_37546785-S	GI_37546785-S	GI_37546785	XM_351240.1	CROCC	9696	1	1pter-p36.11	17121031	17172046	"ciliary rootlet coiled-coil, rootletin"	0.994681	1.00000	both
GI_13435128-S	GI_13435128-S	GI_13435128	NM_022089.1	HSA9947	23400	1	1p36	17185039	17210853	ATPase type 13A2	1.00000	1.00000	both
GI_9257241-S	GI_9257241-S	GI_9257241	NM_003000.1	SDHB	6390	1	1p36.1-p35	17217839	17253232	"succinate dehydrogenase complex, subunit B, iron sulfur (Ip)"	0.984043	0.937500	both
GI_29789089-S	GI_29789089-S	GI_29789089	NM_018715.1	TD-60	55920	1	1p36.13	17605865	17638806	regulator of chromosome condensation 2	0.994681	1.00000	both
GI_31543152-S	GI_31543152-S	GI_31543152	NM_032880.2	MGC15730	84966	1	1p36.13	18306826	18577562	"immunoglobin superfamily, member 21"	1.00000	1.00000	both
GI_25777735-A	GI_25777735-A	GI_25777735	NM_170726.1	ALDH4A1	8659	1	1p36	19070512	19101658	"aldehyde dehydrogenase 4 family, member A1"	1.00000	1.00000	both
GI_25777733-I	GI_25777733-I	GI_25777733	NM_003748.2	ALDH4A1	8659	1	1p36	19070512	19101658	"aldehyde dehydrogenase 4 family, member A1"	0.989362	0.937500	both
GI_24416001-S	GI_24416001-S	GI_24416001	NM_020765.1	RBAF600	23352	1	1p36.13	19273586	19409332	ubiquitin protein ligase E3 component n-recognin 4	1.00000	1.00000	both
GI_22095330-S	GI_22095330-S	GI_22095330	NM_015047.1	KIAA0090	23065	1	1p36.13	19417170	19450632	KIAA0090	1.00000	1.00000	both
GI_18490986-S	GI_18490986-S	GI_18490986	NM_016183.2	C1orf33	51154	1	1p36.13	19450885	19458344	mRNA turnover 4 homolog (S. cerevisiae)	1.00000	1.00000	both
GI_41327763-S	GI_41327763-S	GI_41327763	NM_003689.2	AKR7A2	8574	1	1p35.1-p36.23	19503045	19511226	"aldo-keto reductase family 7, member A2 (aflatoxin aldehyde reductase)"	1.00000	1.00000	both
GI_4826658-S	GI_4826658-S	GI_4826658	NM_004930.1	CAPZB	832	1	1p36.1	19537859	19684578	"capping protein (actin filament) muscle Z-line, beta"	1.00000	0.977273	both
GI_33519445-A	GI_33519445-A	GI_33519445	NM_005380.3	NBL1	4681	1	1p36.13-p36.11	19842312	19857531	"neuroblastoma, suppression of tumorigenicity 1"	1.00000	1.00000	both
GI_31377582-S	GI_31377582-S	GI_31377582	NM_152376.2	UBXD3	127733	1	1p36.12	20385164	20392528	UBX domain containing 3	0.973404	0.977273	both
GI_31324542-S	GI_31324542-S	GI_31324542	NM_018584.4	CaMKIINalpha	55450	1	1p36.12	20682518	20684858	calcium/calmodulin-dependent protein kinase II inhibitor 1	1.00000	1.00000	both
GI_13375704-S	GI_13375704-S	GI_13375704	NM_024544.1	FLJ12875	79594	1	1p36.12	20698529	20707240	chromosome 1 open reading frame 166	0.930851	0.869318	control
GI_14165271-S	GI_14165271-S	GI_14165271	NM_032409.1	PINK1	65018	1	1p36	20832534	20850590	PTEN induced putative kinase 1	1.00000	1.00000	both
GI_34147559-S	GI_34147559-S	GI_34147559	NM_005216.3	DDOST	1650	1	1p36.1	20850856	20860530	dolichyl-diphosphooligosaccharide-protein glycosyltransferase	1.00000	1.00000	both
GI_40385863-S	GI_40385863-S	GI_40385863	NM_020816.1	KIF17	57576	1	1p36.12	20863095	20917096	kinesin family member 17	0.952128	0.784091	control
GI_42655935-S	GI_42655935-S	GI_42655935	XM_375698.1	LOC400745	400745	1	1p36.12	20917212	20932174	SH2 domain containing 5	0.984043	0.914773	both
GI_10092600-S	GI_10092600-S	GI_10092600	NM_003760.2	EIF4G3	8672	1	1p36.12	21005558	21250073	"eukaryotic translation initiation factor 4 gamma, 3"	1.00000	1.00000	both
GI_13787192-S	GI_13787192-S	GI_13787192	NM_000478.2	ALPL	249	1	1p36.1-p34	21708455	21777488	"alkaline phosphatase, liver/bone/kidney"	0.994681	0.977273	both
GI_4506414-S	GI_4506414-S	GI_4506414	NM_002885.1	RAP1GA1	5909	1	1p36.1-p35	21795301	21868385	RAP1 GTPase activating protein	1.00000	1.00000	both
GI_18860906-S	GI_18860906-S	GI_18860906	NM_032236.3	USP31	84196	1	1p36.12	21877377	21982274	ubiquitin specific peptidase 48	0.920213	0.784091	control
GI_16357471-A	GI_16357471-A	GI_16357471	NM_044472.1	CDC42	998	1	1p36.1	22251706	22292022	"cell division cycle 42 (GTP binding protein, 25kDa)"	0.994681	0.982955	both
GI_16357470-I	GI_16357470-I	GI_16357470	NM_001791.2	CDC42	998	1	1p36.1	22251706	22292022	"cell division cycle 42 (GTP binding protein, 25kDa)"	0.984043	0.965909	both
GI_37548628-S	GI_37548628-S	GI_37548628	XM_291544.2	LOC343384	343384	1	1p36.12	22521919	22522410	similar to peptidylprolyl isomerase A isoform 1	0.968085	0.982955	both
GI_37221179-S	GI_37221179-S	GI_37221179	NM_014870.2	KIAA0478	9923	1	1pter-q31.3	22650936	22727566	zinc finger and BTB domain containing 40	0.941489	0.937500	both
GI_7705752-S	GI_7705752-S	GI_7705752	NM_015991.1	C1QA	712	1	1p36.12	22835704	22838761	"complement component 1, q subcomponent, A chain"	1.00000	1.00000	both
GI_27363487-S	GI_27363487-S	GI_27363487	NM_172369.1	C1QG	714	1	1p36.11	22842733	22847189	"complement component 1, q subcomponent, C chain"	0.973404	0.954545	both
GI_11038661-S	GI_11038661-S	GI_11038661	NM_000491.2	C1QB	713	1	1p36.12	22852268	22860615	"complement component 1, q subcomponent, B chain"	1.00000	1.00000	both
GI_17975764-A	GI_17975764-A	GI_17975764	NM_017449.1	EPHB2	2048	1	1p36.1-p35	22910044	23114404	EPH receptor B2	0.968085	0.937500	both
GI_24797104-I	GI_24797104-I	GI_24797104	NM_004442.4	EPHB2	2048	1	1p36.1-p35	22910044	23114404	EPH receptor B2	0.936170	0.823864	control
GI_30794499-S	GI_30794499-S	GI_30794499	NM_015013.1	AOF2	23028	1	1p36.12	23218532	23282770	amine oxidase (flavin containing) domain 2	1.00000	1.00000	both
GI_14141188-S	GI_14141188-S	GI_14141188	NM_005826.2	HNRPR	10236	1	1p36.12	23508862	23543370	heterogeneous nuclear ribonucleoprotein R	1.00000	1.00000	both
GI_19923539-S	GI_19923539-S	GI_19923539	NM_017707.2	UPLC1	55616	1	1p36.12	23627642	23683257	development and differentiation enhancing factor-like 1	1.00000	1.00000	both
GI_32171181-S	GI_32171181-S	GI_32171181	NM_002167.2	ID3	3399	1	1p36.13-p36.12	23757042	23758871	"inhibitor of DNA binding 3, dominant negative helix-loop-helix protein"	0.968085	0.960227	both
GI_15431289-S	GI_15431289-S	GI_15431289	NM_000975.2	RPL11	6135	1	1p36.1-p35	23890880	23895501	ribosomal protein L11	1.00000	1.00000	both
GI_4507388-S	GI_4507388-S	GI_4507388	NM_003198.1	TCEB3	6924	1	1p36.1	23942548	23958973	"transcription elongation factor B (SIII), polypeptide 3 (110kDa, elongin A)"	0.957447	0.789773	control
GI_21361836-S	GI_21361836-S	GI_21361836	NM_020362.2	HT014	57095	1	1p36.11	23977469	23987308	chromosome 1 open reading frame 128	1.00000	1.00000	both
GI_20302149-S	GI_20302149-S	GI_20302149	NM_007260.2	LYPLA2	11313	1	1p36.12-p35.1	23990232	23994615	lysophospholipase II	0.994681	1.00000	both
GI_9945333-S	GI_9945333-S	GI_9945333	NM_000403.2	GALE	2582	1	1p36-p35	23994675	23999880	UDP-galactose-4-epimerase	0.989362	0.886364	control
